,n,m,c,iter1,iter2,diff
63,10,40,5,351,352,0.8333333333333321
64,10,40,10,0,1,0.8333333333333321
65,10,40,10,5,6,0.8333333333333321
66,10,40,10,14,15,0.8333333333333357
67,10,40,10,16,17,0.8333333333333321
68,10,40,10,22,23,0.8333333333333321
69,10,40,10,310,311,0.8333333333333357
70,10,40,15,0,1,1.666666666666666
71,10,40,15,1,2,0.8333333333333339
72,10,40,15,2,3,0.8333333333333339
73,10,40,15,14,15,0.8333333333333321
74,10,40,15,41,42,0.8333333333333321
75,10,40,15,982,983,0.8333333333333357
76,10,40,20,0,1,1.666666666666666
77,10,40,20,4,5,0.8333333333333339
78,10,40,20,9,10,0.8333333333333339
79,10,40,20,17,18,0.8333333333333339
80,10,40,20,31,32,0.8333333333333321
81,10,40,20,645,646,0.8333333333333321
82,10,40,26,0,1,2.5
83,10,40,26,1,2,0.8333333333333339
84,10,40,26,3,4,0.8333333333333321
85,10,40,26,16,17,0.8333333333333339
86,10,40,26,38,39,0.8333333333333339
87,10,60,5,2,3,0.5555555555555571
88,10,60,5,4,5,0.55555555555555
89,10,60,5,5,6,0.5555555555555571
90,10,60,5,29,30,0.5555555555555571
91,10,60,5,99,100,0.5555555555555571
92,10,60,5,106,107,0.5555555555555536
93,10,60,5,219,220,0.5555555555555571
94,10,60,10,0,1,2.222222222222218
95,10,60,10,1,2,0.5555555555555536
96,10,60,10,14,15,0.5555555555555571
97,10,60,10,16,17,0.5555555555555571
98,10,60,10,104,105,0.5555555555555571
99,10,60,10,250,251,0.5555555555555571
100,10,60,10,379,380,0.5555555555555536
101,10,60,10,385,386,0.5555555555555571
102,10,60,15,1,2,1.6666666666666679
103,10,60,15,21,22,0.55555555555555
104,10,60,15,23,24,0.5555555555555536
105,10,60,15,67,68,0.5555555555555571
106,10,60,15,268,269,0.5555555555555571
107,10,60,15,277,278,0.5555555555555571
108,10,60,20,3,4,0.5555555555555571
109,10,60,20,6,7,0.5555555555555571
110,10,60,20,10,11,0.5555555555555518
111,10,60,20,11,12,1.1111111111111143
112,10,60,20,76,77,0.5555555555555536
113,10,60,26,0,1,1.111111111111109
114,10,60,26,1,2,0.5555555555555571
115,10,60,26,13,14,0.5555555555555571
116,10,60,26,15,16,0.5555555555555571
117,10,60,26,64,65,0.5555555555555536
118,10,60,26,202,203,0.55555555555555
119,10,60,26,237,238,0.5555555555555571
120,15,10,5,0,1,6.666666666666666
121,15,10,5,3,4,3.333333333333334
122,15,10,5,12,13,3.333333333333334
123,15,10,5,41,42,3.333333333333332
124,15,10,10,0,1,3.3333333333333335
125,15,10,10,5,6,3.3333333333333335
126,15,10,10,7,8,3.333333333333333
127,15,10,15,3,4,3.3333333333333335
128,15,10,15,4,5,3.3333333333333335
129,15,10,15,28,29,3.333333333333333
130,15,10,20,12,13,3.3333333333333335
131,15,10,20,14,15,3.3333333333333335
132,15,10,20,22,23,3.333333333333333
133,15,10,26,5,6,3.3333333333333335
134,15,10,26,232,233,3.3333333333333335
135,15,10,26,734,735,3.333333333333333
136,15,15,5,0,1,2.2222222222222197
137,15,15,5,1,2,2.222222222222218
138,15,15,5,15,16,2.222222222222223
139,15,15,5,22,23,2.222222222222225
140,15,15,5,24,25,2.222222222222225
141,15,15,10,1,2,2.222222222222224
142,15,15,10,8,9,2.2222222222222197
143,15,15,10,14,15,2.222222222222218
144,15,15,10,33,34,2.2222222222222197
145,15,15,15,1,2,2.222222222222224
146,15,15,20,1,2,2.222222222222224
147,15,15,20,81,82,2.2222222222222197
148,15,15,26,1,2,4.444444444444448
149,15,20,5,1,2,1.666666666666666
150,15,20,5,8,9,1.6666666666666679
151,15,20,5,20,21,1.6666666666666643
152,15,20,5,39,40,1.6666666666666679
153,15,20,5,66,67,1.6666666666666679
154,15,20,10,0,1,1.666666666666667
155,15,20,10,1,2,1.666666666666666
156,15,20,10,28,29,1.666666666666666
157,15,20,10,950,951,1.6666666666666679
158,15,20,15,5,6,1.666666666666667
159,15,20,15,10,11,1.666666666666667
160,15,20,15,14,15,1.666666666666666
161,15,20,20,0,1,1.6666666666666665
162,15,20,20,1,2,1.666666666666667
163,15,20,20,4,5,1.666666666666667
164,15,20,20,6,7,1.666666666666666
165,15,20,26,8,9,1.666666666666667
166,15,20,26,11,12,1.666666666666667
167,15,20,26,83,84,1.666666666666666
168,15,40,5,1,2,0.8333333333333357
169,15,40,5,3,4,0.8333333333333321
170,15,40,5,11,12,0.8333333333333321
171,15,40,5,73,74,0.8333333333333357
172,15,40,5,93,94,0.8333333333333321
173,15,40,5,107,108,0.8333333333333321
174,15,40,10,1,2,0.8333333333333321
175,15,40,10,4,5,0.8333333333333339
176,15,40,10,5,6,0.8333333333333339
177,15,40,10,8,9,0.8333333333333321
178,15,40,10,188,189,0.8333333333333339
179,15,40,10,209,210,0.8333333333333339
180,15,40,15,7,8,0.8333333333333339
181,15,40,15,13,14,0.8333333333333321
182,15,40,15,20,21,0.8333333333333339
183,15,40,20,0,1,0.833333333333333
184,15,40,20,1,2,0.8333333333333339
185,15,40,20,10,11,0.8333333333333321
186,15,40,20,12,13,0.8333333333333339
187,15,40,20,89,90,0.8333333333333339
188,15,40,20,414,415,0.8333333333333321
189,15,40,20,459,460,0.8333333333333339
190,15,40,26,0,1,1.666666666666667
191,15,40,26,4,5,0.8333333333333339
192,15,40,26,5,6,1.666666666666666
193,15,40,26,552,553,0.8333333333333339
194,15,40,26,684,685,0.8333333333333321
195,15,60,5,1,2,0.5555555555555536
196,15,60,5,2,3,0.5555555555555571
197,15,60,5,5,6,0.5555555555555571
198,15,60,5,6,7,0.5555555555555571
199,15,60,5,15,16,1.1111111111111072
200,15,60,5,18,19,0.5555555555555536
201,15,60,5,81,82,0.5555555555555571
202,15,60,10,0,1,1.6666666666666714
203,15,60,10,4,5,1.1111111111111107
204,15,60,10,7,8,0.5555555555555518
205,15,60,10,19,20,0.5555555555555571
206,15,60,10,20,21,0.5555555555555571
207,15,60,10,41,42,0.5555555555555571
208,15,60,10,282,283,0.5555555555555536
209,15,60,10,666,667,0.5555555555555571
210,15,60,15,2,3,0.5555555555555571
211,15,60,15,9,10,1.111111111111109
212,15,60,15,14,15,0.5555555555555571
213,15,60,15,129,130,0.5555555555555536
214,15,60,15,164,165,0.5555555555555518
215,15,60,20,0,1,0.5555555555555571
216,15,60,20,1,2,0.5555555555555571
217,15,60,20,2,3,0.5555555555555571
218,15,60,20,55,56,0.5555555555555571
219,15,60,20,77,78,0.5555555555555518
220,15,60,20,340,341,0.5555555555555536
221,15,60,26,0,1,1.1111111111111143
222,15,60,26,2,3,1.1111111111111098
223,15,60,26,3,4,0.5555555555555518
224,15,60,26,10,11,0.5555555555555571
225,15,60,26,12,13,0.5555555555555571
226,15,60,26,100,101,0.5555555555555571
227,15,60,26,252,253,0.5555555555555571
228,20,10,5,0,1,6.666666666666667
229,20,10,5,1,2,3.333333333333333
230,20,10,5,21,22,3.333333333333334
231,20,10,5,32,33,3.333333333333334
232,20,10,5,341,342,3.333333333333332
233,20,10,10,31,32,3.3333333333333335
234,20,10,10,114,115,3.333333333333333
235,20,10,15,87,88,3.3333333333333335
236,20,10,15,110,111,3.3333333333333335
237,20,10,26,87,88,3.3333333333333335
238,20,15,5,0,1,2.222222222222218
239,20,15,5,5,6,2.2222222222222197
240,20,15,5,14,15,2.222222222222223
241,20,15,5,27,28,2.222222222222223
242,20,15,5,220,221,2.222222222222225
243,20,15,10,20,21,2.2222222222222197
244,20,15,10,208,209,2.222222222222218
245,20,15,10,250,251,2.2222222222222197
246,20,15,15,2,3,4.444444444444447
247,20,15,15,13,14,2.222222222222224
248,20,15,20,12,13,2.2222222222222237
249,20,15,20,14,15,2.2222222222222237
250,20,15,20,74,75,2.222222222222224
251,20,15,26,14,15,2.2222222222222237
252,20,15,26,17,18,2.2222222222222237
253,20,15,26,27,28,2.222222222222224
254,20,20,5,0,1,1.6666666666666679
