,n,m,c,tipoFrec,maxDist
406,10.0,10.0,24.0,2.0,10.0
407,10.0,10.0,24.0,2.0,10.0
408,10.0,10.0,24.0,2.0,10.0
409,10.0,10.0,24.0,2.0,10.0
410,10.0,10.0,24.0,2.0,10.0
411,10.0,10.0,24.0,2.0,10.0
412,10.0,10.0,24.0,2.0,10.0
413,10.0,10.0,24.0,2.0,10.0
414,10.0,10.0,24.0,2.0,10.0
415,10.0,10.0,24.0,2.0,10.0
416,10.0,10.0,24.0,2.0,10.0
417,10.0,10.0,24.0,2.0,10.0
418,10.0,10.0,24.0,2.0,10.0
419,10.0,10.0,24.0,2.0,10.0
420,10.0,10.0,24.0,2.0,10.0
421,10.0,10.0,24.0,2.0,10.0
422,10.0,10.0,24.0,2.0,10.0
423,10.0,10.0,24.0,2.0,10.0
424,10.0,10.0,24.0,2.0,10.0
425,10.0,10.0,24.0,2.0,10.0
426,10.0,10.0,24.0,2.0,10.0
427,10.0,10.0,24.0,2.0,10.0
428,10.0,10.0,24.0,2.0,10.0
429,10.0,10.0,24.0,2.0,10.0
430,10.0,10.0,24.0,2.0,10.0
431,10.0,10.0,24.0,2.0,10.0
432,10.0,10.0,24.0,2.0,10.0
433,10.0,10.0,24.0,2.0,10.0
434,10.0,10.0,24.0,2.0,10.0
435,10.0,10.0,24.0,2.0,10.0
436,10.0,10.0,24.0,2.0,10.0
437,10.0,10.0,24.0,2.0,10.0
438,10.0,10.0,24.0,2.0,10.0
439,10.0,10.0,24.0,2.0,10.0
440,10.0,10.0,24.0,2.0,10.0
441,10.0,10.0,24.0,2.0,10.0
442,10.0,10.0,24.0,2.0,10.0
443,10.0,10.0,24.0,2.0,10.0
444,10.0,10.0,24.0,2.0,10.0
445,10.0,10.0,24.0,2.0,10.0
446,10.0,10.0,24.0,2.0,10.0
447,10.0,10.0,24.0,2.0,10.0
448,10.0,10.0,24.0,2.0,10.0
449,10.0,10.0,24.0,2.0,10.0
450,10.0,10.0,24.0,2.0,10.0
451,10.0,10.0,24.0,2.0,10.0
452,10.0,10.0,24.0,2.0,10.0
453,10.0,10.0,24.0,2.0,10.0
454,10.0,10.0,24.0,2.0,10.0
455,10.0,10.0,24.0,2.0,10.0
456,10.0,10.0,24.0,2.0,10.0
457,10.0,10.0,24.0,2.0,10.0
458,10.0,10.0,24.0,2.0,10.0
459,10.0,10.0,24.0,2.0,10.0
460,10.0,10.0,24.0,2.0,10.0
461,10.0,10.0,24.0,2.0,10.0
462,10.0,10.0,24.0,2.0,10.0
463,10.0,10.0,24.0,2.0,10.0
464,10.0,10.0,24.0,2.0,10.0
465,10.0,10.0,24.0,2.0,10.0
466,10.0,10.0,24.0,2.0,10.0
467,10.0,10.0,24.0,2.0,10.0
468,10.0,10.0,24.0,2.0,10.0
469,10.0,10.0,24.0,2.0,10.0
470,10.0,10.0,24.0,2.0,10.0
471,10.0,10.0,24.0,2.0,10.0
472,10.0,10.0,24.0,2.0,10.0
473,10.0,10.0,24.0,2.0,10.0
474,10.0,10.0,24.0,2.0,10.0
475,10.0,10.0,24.0,2.0,10.0
476,10.0,10.0,24.0,2.0,10.0
477,10.0,10.0,24.0,2.0,10.0
478,10.0,10.0,24.0,2.0,10.0
479,10.0,10.0,24.0,2.0,10.0
480,10.0,10.0,24.0,2.0,10.0
481,10.0,10.0,24.0,2.0,10.0
482,10.0,10.0,24.0,2.0,10.0
483,10.0,10.0,24.0,2.0,10.0
484,10.0,10.0,24.0,2.0,10.0
485,10.0,10.0,24.0,2.0,10.0
486,10.0,10.0,24.0,2.0,10.0
487,10.0,10.0,24.0,2.0,10.0
488,10.0,10.0,24.0,2.0,10.0
489,10.0,10.0,24.0,2.0,10.0
490,10.0,10.0,24.0,2.0,10.0
491,10.0,10.0,24.0,2.0,10.0
492,10.0,10.0,24.0,2.0,10.0
493,10.0,10.0,24.0,2.0,10.0
494,10.0,10.0,24.0,2.0,10.0
495,10.0,10.0,24.0,2.0,10.0
496,10.0,10.0,24.0,2.0,10.0
497,10.0,10.0,24.0,2.0,10.0
498,10.0,10.0,24.0,2.0,10.0
499,10.0,10.0,24.0,2.0,10.0
500,10.0,10.0,22.0,2.0,10.0
501,10.0,10.0,22.0,2.0,10.0
502,10.0,10.0,22.0,2.0,10.0
503,10.0,10.0,22.0,2.0,10.0
504,10.0,10.0,22.0,2.0,10.0
505,10.0,10.0,22.0,2.0,10.0
506,10.0,10.0,22.0,2.0,10.0
507,10.0,10.0,22.0,2.0,10.0
508,10.0,10.0,22.0,2.0,10.0
509,10.0,10.0,22.0,2.0,10.0
510,10.0,10.0,22.0,2.0,10.0
511,10.0,10.0,22.0,2.0,10.0
512,10.0,10.0,22.0,2.0,10.0
513,10.0,10.0,22.0,2.0,10.0
514,10.0,10.0,22.0,2.0,10.0
515,10.0,10.0,22.0,2.0,10.0
516,10.0,10.0,22.0,2.0,10.0
517,10.0,10.0,22.0,2.0,10.0
518,10.0,10.0,22.0,2.0,10.0
519,10.0,10.0,22.0,2.0,10.0
520,10.0,10.0,22.0,2.0,10.0
521,10.0,10.0,22.0,2.0,10.0
522,10.0,10.0,22.0,2.0,10.0
523,10.0,10.0,22.0,2.0,10.0
524,10.0,10.0,22.0,2.0,10.0
525,10.0,10.0,22.0,2.0,10.0
526,10.0,10.0,22.0,2.0,10.0
527,10.0,10.0,22.0,2.0,10.0
528,10.0,10.0,22.0,2.0,10.0
529,10.0,10.0,22.0,2.0,10.0
530,10.0,10.0,22.0,2.0,10.0
531,10.0,10.0,22.0,2.0,10.0
532,10.0,10.0,22.0,2.0,10.0
533,10.0,10.0,22.0,2.0,10.0
534,10.0,10.0,22.0,2.0,10.0
535,10.0,10.0,22.0,2.0,10.0
536,10.0,10.0,22.0,2.0,10.0
537,10.0,10.0,22.0,2.0,10.0
538,10.0,10.0,22.0,2.0,10.0
539,10.0,10.0,22.0,2.0,10.0
540,10.0,10.0,22.0,2.0,10.0
541,10.0,10.0,22.0,2.0,10.0
542,10.0,10.0,22.0,2.0,10.0
543,10.0,10.0,22.0,2.0,10.0
544,10.0,10.0,22.0,2.0,10.0
545,10.0,10.0,22.0,2.0,10.0
546,10.0,10.0,22.0,2.0,10.0
547,10.0,10.0,22.0,2.0,10.0
548,10.0,10.0,22.0,2.0,10.0
549,10.0,10.0,22.0,2.0,10.0
550,10.0,10.0,22.0,2.0,10.0
551,10.0,10.0,22.0,2.0,10.0
552,10.0,10.0,22.0,2.0,10.0
553,10.0,10.0,22.0,2.0,10.0
554,10.0,10.0,22.0,2.0,10.0
555,10.0,10.0,22.0,2.0,10.0
556,10.0,10.0,22.0,2.0,10.0
557,10.0,10.0,22.0,2.0,10.0
558,10.0,10.0,22.0,2.0,10.0
559,10.0,10.0,22.0,2.0,10.0
560,10.0,10.0,22.0,2.0,10.0
561,10.0,10.0,22.0,2.0,10.0
562,10.0,10.0,22.0,2.0,10.0
563,10.0,10.0,22.0,2.0,10.0
564,10.0,10.0,22.0,2.0,10.0
565,10.0,10.0,22.0,2.0,10.0
566,10.0,10.0,22.0,2.0,10.0
567,10.0,10.0,22.0,2.0,10.0
568,10.0,10.0,22.0,2.0,10.0
569,10.0,10.0,22.0,2.0,10.0
570,10.0,10.0,22.0,2.0,10.0
571,10.0,10.0,22.0,2.0,10.0
572,10.0,10.0,22.0,2.0,10.0
573,10.0,10.0,22.0,2.0,10.0
574,10.0,10.0,22.0,2.0,10.0
575,10.0,10.0,22.0,2.0,10.0
576,10.0,10.0,22.0,2.0,10.0
577,10.0,10.0,22.0,2.0,10.0
578,10.0,10.0,22.0,2.0,10.0
