,n,m,c,tipoFrec,maxDist,maxDist%
191,10.0,300.0,4.0,3.0,233.0,22.33333333333333
192,10.0,300.0,4.0,3.0,220.0,26.66666666666667
193,10.0,300.0,4.0,3.0,223.0,25.66666666666667
194,10.0,300.0,4.0,3.0,228.0,24.0
195,10.0,300.0,4.0,3.0,227.0,24.33333333333333
196,10.0,300.0,4.0,3.0,226.0,24.66666666666667
197,10.0,300.0,4.0,3.0,221.0,26.33333333333333
198,10.0,300.0,4.0,3.0,229.0,23.66666666666667
199,10.0,300.0,4.0,3.0,224.0,25.33333333333333
200,10.0,300.0,4.0,3.0,232.0,22.66666666666667
201,10.0,300.0,4.0,3.0,226.0,24.66666666666667
202,10.0,300.0,4.0,3.0,224.0,25.33333333333333
203,10.0,300.0,4.0,3.0,221.0,26.33333333333333
204,10.0,300.0,4.0,3.0,225.0,25.0
205,10.0,300.0,4.0,3.0,230.0,23.33333333333333
206,10.0,300.0,4.0,3.0,230.0,23.33333333333333
207,10.0,300.0,4.0,3.0,231.0,23.0
208,10.0,300.0,4.0,3.0,230.0,23.33333333333333
209,10.0,300.0,4.0,3.0,226.0,24.66666666666667
210,10.0,300.0,4.0,3.0,228.0,24.0
211,10.0,300.0,4.0,3.0,227.0,24.33333333333333
212,10.0,300.0,4.0,3.0,229.0,23.66666666666667
213,10.0,300.0,4.0,3.0,228.0,24.0
214,10.0,300.0,4.0,3.0,229.0,23.66666666666667
215,10.0,300.0,4.0,3.0,225.0,25.0
216,10.0,300.0,4.0,3.0,232.0,22.66666666666667
217,10.0,300.0,4.0,3.0,223.0,25.66666666666667
218,10.0,300.0,4.0,3.0,224.0,25.33333333333333
219,10.0,300.0,4.0,3.0,232.0,22.66666666666667
220,10.0,300.0,4.0,3.0,227.0,24.33333333333333
221,10.0,300.0,4.0,3.0,219.0,27.0
222,10.0,300.0,4.0,3.0,222.0,26.0
223,10.0,300.0,4.0,3.0,227.0,24.33333333333333
224,10.0,300.0,4.0,3.0,225.0,25.0
225,10.0,300.0,4.0,3.0,232.0,22.66666666666667
226,10.0,300.0,4.0,3.0,230.0,23.33333333333333
227,10.0,300.0,4.0,3.0,230.0,23.33333333333333
228,10.0,300.0,4.0,3.0,224.0,25.33333333333333
229,10.0,300.0,4.0,3.0,231.0,23.0
230,10.0,300.0,4.0,3.0,230.0,23.33333333333333
231,10.0,300.0,4.0,3.0,224.0,25.33333333333333
232,10.0,300.0,4.0,3.0,225.0,25.0
233,10.0,300.0,4.0,3.0,229.0,23.66666666666667
234,10.0,300.0,4.0,3.0,223.0,25.66666666666667
235,10.0,300.0,4.0,3.0,227.0,24.33333333333333
236,10.0,300.0,4.0,3.0,223.0,25.66666666666667
